City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,los llanos de aridane,28.66,-17.92,69.8,83,40,12.75,ES,1593565941
353,diego de almagro,-26.37,-70.05,49.89,57,0,2.68,CL,1593566011
354,na wa,17.49,104.1,82.4,83,75,8.05,TH,1593566011
355,bulgan,48.81,103.53,65.8,58,0,7.49,MN,1593566011
356,antalaha,-14.9,50.28,65.95,86,1,7.38,MG,1593566011
357,tongzi,28.78,105.09,77.63,87,98,1.54,CN,1593566011
358,novyy urengoy,66.08,76.63,49.05,81,95,5.21,RU,1593566012
359,port lincoln,-34.73,135.87,61.95,62,0,24.54,AU,1593566013
360,sao caetano de odivelas,-0.75,-48.02,74.61,94,13,4.45,BR,1593566013
361,isangel,-19.55,169.27,75.2,57,40,9.17,VU,1593565670
362,sao joao da barra,-21.64,-41.05,71.17,82,2,17.49,BR,1593565932
363,pokhara,28.23,83.98,72.97,85,99,0.83,NP,1593566013
364,tsogni,-2.79,10.1,68.74,89,91,1.72,GA,1593566013
365,kaeo,-35.1,173.78,57.99,3,38,5.99,NZ,1593565950
366,ust-kulom,61.69,53.69,44.56,72,100,3.09,RU,1593566014
367,hami,42.8,93.45,75.6,31,0,4.99,CN,1593565956
368,ginda,30.69,78.49,75.2,94,75,3.36,IN,1593566014
369,do gonbadan,30.36,50.8,75.2,23,0,3.2,IR,1593566014
370,lompoc,34.64,-120.46,66.99,72,1,12.75,US,1593565652
371,nyurba,63.28,118.33,81.82,45,0,4.97,RU,1593566014
372,olafsvik,64.89,-23.71,50.04,87,48,8.01,IS,1593565947
373,gravdal,68.12,13.5,45.9,85,86,16.93,NO,1593566014
374,xai-xai,-25.05,33.64,65.86,78,80,11.5,MZ,1593566014
375,batemans bay,-35.72,150.18,64.0,56,93,1.01,AU,1593565881
376,kruisfontein,-34.0,24.73,53.82,54,0,8.66,ZA,1593565916
377,cockburn town,21.46,-71.14,82.4,78,0,15.55,TC,1593566015
378,cabedelo,-6.98,-34.83,73.4,100,40,1.12,BR,1593565917
379,vestmannaeyjar,63.44,-20.27,48.88,80,100,9.04,IS,1593566015
380,vostok,46.49,135.88,71.47,48,0,5.01,RU,1593566015
